iter	Passed	Remaining
0	70	70558
1	81	40537
2	91	30425
3	100	24995
4	102	20437
5	111	18533
6	120	17141
7	130	16158
8	139	15408
9	149	14755
10	158	14238
11	167	13783
12	176	13435
13	186	13156
14	196	12891
15	205	12657
16	215	12439
17	224	12242
18	233	12073
19	243	11931
20	252	11786
21	262	11660
22	267	11375
23	276	11264
24	286	11161
25	295	11062
26	304	10960
27	313	10882
28	322	10805
29	331	10729
30	341	10664
31	350	10617
32	360	10553
33	369	10485
34	377	10418
35	387	10369
36	396	10323
37	406	10284
38	415	10240
39	424	10194
40	434	10158
41	443	10111
42	452	10069
43	461	10028
44	470	9995
45	480	9962
46	489	9922
47	498	9882
48	507	9847
49	516	9815
50	525	9782
51	534	9751
52	543	9718
53	553	9692
54	562	9660
55	571	9630
56	580	9604
57	589	9582
58	599	9559
59	609	9547
60	618	9523
61	628	9503
62	637	9479
63	646	9459
64	656	9439
65	665	9414
66	674	9399
67	684	9379
68	693	9355
69	702	9333
70	711	9315
71	721	9293
72	730	9273
73	739	9253
74	748	9234
75	758	9216
76	767	9199
77	777	9185
78	786	9165
79	796	9154
80	805	9137
81	814	9118
82	823	9102
83	833	9087
84	842	9070
85	851	9046
86	860	9031
87	870	9018
88	879	9002
89	888	8986
90	898	8970
91	907	8952
92	915	8933
93	925	8917
94	934	8901
95	943	8886
96	952	8871
97	962	8856
98	971	8841
99	980	8827
100	990	8812
101	999	8797
102	1008	8785
103	1017	8770
104	1027	8755
105	1036	8740
106	1045	8727
107	1054	8713
108	1064	8702
109	1073	8689
110	1082	8673
111	1092	8662
112	1103	8659
113	1113	8655
114	1123	8643
115	1132	8628
116	1141	8613
117	1150	8600
118	1159	8587
119	1169	8573
120	1178	8559
121	1187	8546
122	1196	8532
123	1206	8521
124	1215	8508
125	1224	8494
126	1233	8479
127	1243	8468
128	1252	8457
129	1261	8444
130	1270	8430
131	1280	8418
132	1289	8408
133	1298	8393
134	1307	8379
135	1317	8369
136	1326	8355
137	1335	8343
138	1344	8328
139	1353	8317
140	1363	8305
141	1372	8293
142	1381	8281
143	1391	8269
144	1400	8258
145	1409	8246
146	1419	8235
147	1428	8223
148	1437	8211
149	1447	8199
150	1456	8187
151	1465	8174
152	1474	8162
153	1483	8151
154	1493	8140
155	1502	8127
156	1511	8115
157	1520	8104
158	1530	8094
159	1539	8084
160	1548	8071
161	1558	8059
162	1567	8047
163	1576	8035
164	1585	8025
165	1594	8013
166	1604	8002
167	1613	7990
168	1623	7981
169	1632	7969
170	1641	7959
171	1650	7946
172	1660	7935
173	1669	7923
174	1678	7911
175	1687	7900
176	1697	7890
177	1706	7879
178	1715	7867
179	1724	7856
180	1733	7845
181	1743	7835
182	1752	7824
183	1761	7813
184	1770	7801
185	1780	7792
186	1790	7782
187	1799	7772
188	1808	7762
189	1818	7750
190	1827	7739
191	1836	7728
192	1845	7718
193	1855	7707
194	1864	7696
195	1873	7685
196	1882	7675
197	1892	7665
198	1901	7654
199	1911	7644
200	1920	7632
201	1929	7621
202	1938	7612
203	1947	7600
204	1957	7589
205	1966	7578
206	1975	7568
207	1984	7558
208	1994	7547
209	2003	7535
210	2012	7525
211	2021	7514
212	2030	7504
213	2040	7494
214	2049	7484
215	2059	7473
216	2068	7462
217	2077	7453
218	2086	7441
219	2096	7433
220	2105	7422
221	2115	7412
222	2124	7402
223	2133	7392
224	2143	7382
225	2152	7371
226	2161	7360
227	2170	7350
228	2179	7339
229	2188	7328
230	2198	7317
231	2207	7305
232	2216	7295
233	2225	7284
234	2234	7274
235	2244	7265
236	2253	7255
237	2262	7245
238	2271	7234
239	2281	7224
240	2290	7213
241	2299	7203
242	2308	7192
243	2318	7182
244	2327	7172
245	2336	7162
246	2345	7151
247	2354	7140
248	2364	7130
249	2373	7119
250	2382	7109
251	2391	7099
252	2401	7090
253	2410	7080
254	2419	7070
255	2428	7059
256	2438	7048
257	2447	7038
258	2456	7028
259	2465	7016
260	2474	7007
261	2484	6997
262	2493	6988
263	2502	6977
264	2511	6966
265	2520	6956
266	2530	6945
267	2539	6935
268	2548	6925
269	2557	6914
270	2566	6903
271	2575	6893
272	2584	6882
273	2593	6871
274	2602	6861
275	2611	6851
276	2621	6842
277	2630	6832
278	2640	6822
279	2648	6811
280	2658	6802
281	2667	6792
282	2676	6781
283	2686	6772
284	2695	6762
285	2704	6752
286	2713	6742
287	2723	6732
288	2732	6722
289	2741	6711
290	2750	6701
291	2760	6692
292	2769	6683
293	2779	6673
294	2788	6663
295	2797	6652
296	2806	6642
297	2815	6632
298	2825	6623
299	2834	6614
300	2843	6603
301	2852	6593
302	2862	6584
303	2871	6573
304	2880	6563
305	2889	6553
306	2899	6544
307	2908	6533
308	2917	6523
309	2926	6513
310	2935	6502
311	2944	6492
312	2953	6482
313	2962	6472
314	2971	6462
315	2981	6452
316	2990	6443
317	2999	6433
318	3008	6423
319	3018	6414
320	3027	6404
321	3037	6395
322	3046	6385
323	3055	6375
324	3064	6365
325	3073	6355
326	3083	6345
327	3092	6335
328	3101	6325
329	3110	6315
330	3120	6306
331	3129	6296
332	3138	6286
333	3148	6277
334	3157	6267
335	3166	6257
336	3175	6247
337	3184	6237
338	3194	6228
339	3203	6219
340	3213	6209
341	3222	6199
342	3231	6190
343	3241	6181
344	3250	6171
345	3260	6162
346	3269	6152
347	3278	6143
348	3288	6133
349	3297	6124
350	3307	6115
351	3316	6104
352	3325	6095
353	3334	6085
354	3344	6075
355	3353	6066
356	3362	6057
357	3372	6047
358	3381	6038
359	3391	6028
360	3400	6019
361	3409	6009
362	3419	6000
363	3428	5991
364	3438	5981
365	3447	5971
366	3456	5961
367	3465	5952
368	3474	5942
369	3484	5932
370	3493	5923
371	3502	5913
372	3511	5903
373	3521	5893
374	3530	5884
375	3540	5874
376	3548	5864
377	3558	5854
378	3566	5844
379	3576	5834
380	3585	5825
381	3595	5816
382	3604	5807
383	3614	5797
384	3623	5788
385	3633	5778
386	3642	5769
387	3651	5760
388	3661	5751
389	3670	5740
390	3679	5731
391	3688	5721
392	3698	5711
393	3707	5702
394	3716	5692
395	3725	5683
396	3735	5673
397	3744	5663
398	3753	5654
399	3763	5645
400	3772	5635
401	3781	5625
402	3791	5616
403	3800	5606
404	3809	5596
405	3819	5587
406	3828	5578
407	3838	5569
408	3848	5560
409	3857	5551
410	3866	5541
411	3876	5531
412	3885	5522
413	3895	5513
414	3904	5504
415	3914	5494
416	3923	5485
417	3933	5476
418	3942	5467
419	3951	5457
420	3960	5447
421	3969	5437
422	3979	5428
423	3988	5418
424	3998	5409
425	4007	5399
426	4016	5389
427	4025	5380
428	4035	5371
429	4044	5361
430	4053	5351
431	4063	5342
432	4072	5332
433	4081	5323
434	4091	5313
435	4100	5304
436	4109	5295
437	4118	5285
438	4128	5275
439	4137	5265
440	4146	5256
441	4156	5247
442	4165	5237
443	4174	5227
444	4183	5217
445	4193	5208
446	4202	5199
447	4212	5190
448	4221	5180
449	4231	5171
450	4240	5161
451	4249	5151
452	4257	5141
453	4267	5132
454	4276	5122
455	4286	5113
456	4295	5103
457	4304	5094
458	4314	5085
459	4323	5075
460	4332	5065
461	4342	5056
462	4351	5047
463	4360	5037
464	4369	5027
465	4379	5018
466	4388	5008
467	4397	4999
468	4407	4989
469	4416	4980
470	4425	4970
471	4434	4960
472	4444	4951
473	4453	4942
474	4462	4932
475	4472	4923
476	4482	4914
477	4492	4905
478	4501	4896
479	4511	4887
480	4520	4877
481	4530	4868
482	4540	4860
483	4549	4850
484	4559	4841
485	4569	4832
486	4578	4823
487	4588	4814
488	4597	4804
489	4606	4794
490	4616	4785
491	4626	4776
492	4635	4767
493	4644	4757
494	4654	4748
495	4663	4739
496	4673	4729
497	4682	4720
498	4691	4710
499	4700	4700
500	4710	4691
501	4719	4681
502	4728	4672
503	4737	4662
504	4746	4652
505	4755	4642
506	4764	4632
507	4773	4623
508	4783	4614
509	4792	4604
510	4802	4595
511	4811	4585
512	4820	4576
513	4829	4566
514	4839	4557
515	4848	4547
516	4859	4539
517	4869	4530
518	4879	4521
519	4888	4512
520	4898	4503
521	4907	4493
522	4916	4484
523	4926	4474
524	4935	4465
525	4944	4455
526	4953	4446
527	4963	4437
528	4973	4427
529	4982	4418
530	4991	4408
531	5000	4399
532	5010	4389
533	5019	4380
534	5028	4370
535	5037	4361
536	5046	4351
537	5056	4341
538	5065	4332
539	5074	4322
540	5083	4313
541	5093	4303
542	5102	4294
543	5111	4284
544	5121	4275
545	5130	4266
546	5139	4256
547	5148	4246
548	5158	4237
549	5167	4228
550	5176	4218
551	5185	4208
552	5195	4199
553	5204	4190
554	5214	4180
555	5223	4171
556	5233	4162
557	5242	4152
558	5252	4143
559	5261	4134
560	5270	4124
561	5280	4115
562	5289	4105
563	5298	4096
564	5308	4086
565	5317	4076
566	5326	4067
567	5335	4057
568	5344	4048
569	5353	4038
570	5363	4029
571	5372	4020
572	5382	4010
573	5391	4001
574	5400	3991
575	5409	3982
576	5419	3972
577	5428	3963
578	5437	3953
579	5446	3943
580	5456	3934
581	5465	3925
582	5474	3915
583	5483	3906
584	5493	3896
585	5502	3887
586	5511	3878
587	5521	3868
588	5530	3859
589	5539	3849
590	5548	3840
591	5558	3830
592	5567	3821
593	5576	3811
594	5586	3802
595	5596	3793
596	5606	3784
597	5615	3775
598	5624	3765
599	5634	3756
600	5643	3746
601	5653	3737
602	5663	3728
603	5673	3719
604	5682	3710
605	5692	3701
606	5702	3691
607	5711	3682
608	5720	3673
609	5730	3663
610	5739	3654
611	5748	3644
612	5758	3635
613	5767	3626
614	5777	3616
615	5786	3607
616	5796	3597
617	5805	3588
618	5815	3579
619	5824	3570
620	5833	3560
621	5842	3550
622	5852	3541
623	5861	3532
624	5871	3522
625	5880	3513
626	5889	3503
627	5899	3494
628	5908	3485
629	5918	3475
630	5927	3466
631	5936	3456
632	5946	3447
633	5955	3438
634	5965	3428
635	5974	3419
