iter	Passed	Remaining
0	56	56885
1	57	28530
2	57	19092
3	57	14360
4	57	11524
5	58	9637
6	58	8283
7	58	7268
8	58	6477
9	59	5846
10	59	5331
11	59	4899
12	59	4533
13	59	4221
14	60	3949
15	60	3712
16	60	3503
17	60	3316
18	61	3150
19	61	3000
20	61	2863
21	61	2740
22	61	2629
23	62	2525
24	62	2431
25	62	2342
26	62	2261
27	62	2185
28	63	2115
29	63	2050
30	63	1988
31	63	1931
32	64	1877
33	64	1826
34	64	1779
35	64	1733
36	64	1690
37	65	1650
38	65	1611
39	65	1574
40	65	1538
41	66	1506
42	66	1475
43	66	1444
44	66	1415
45	66	1387
46	67	1361
47	67	1337
48	67	1313
49	67	1290
50	68	1267
51	68	1245
52	68	1224
53	68	1204
54	68	1184
55	69	1165
56	69	1147
57	69	1129
58	69	1112
59	69	1096
60	70	1080
61	70	1064
62	70	1049
63	70	1035
64	70	1021
65	71	1007
66	71	994
67	71	981
68	71	969
69	72	956
70	72	945
71	72	933
72	72	922
73	72	911
74	73	900
75	73	890
76	73	880
77	73	870
78	73	860
79	74	851
80	74	842
81	74	833
82	74	823
83	74	814
84	74	806
85	75	798
86	75	790
87	75	782
88	75	774
89	75	767
90	76	760
91	76	752
92	76	745
93	76	738
94	76	732
95	77	725
96	77	719
97	77	713
98	77	706
99	77	700
100	78	694
101	78	688
102	78	683
103	78	677
104	78	672
105	79	666
106	79	661
107	79	656
108	79	651
109	79	646
110	80	641
111	80	636
112	80	631
113	80	627
114	80	622
115	81	617
116	81	613
117	81	608
118	81	604
119	81	600
120	82	595
121	82	591
122	82	587
123	82	583
124	82	579
125	82	575
126	83	571
127	83	567
128	83	563
129	83	560
130	83	556
131	84	553
132	84	549
133	84	546
134	84	543
135	84	539
136	85	536
137	85	533
138	85	529
139	85	526
140	85	523
141	86	519
142	86	516
143	86	513
144	86	510
145	86	507
146	87	505
147	87	502
148	87	499
149	87	496
150	87	493
151	87	490
152	88	488
153	88	485
154	88	482
155	88	480
156	88	477
157	89	474
158	89	472
159	89	469
160	89	466
161	89	464
162	89	461
163	90	459
164	90	457
165	90	454
166	90	452
167	90	450
168	91	448
169	91	445
170	91	443
171	91	441
172	91	439
173	92	437
174	92	434
175	92	432
176	92	430
177	92	428
178	93	426
179	93	424
180	93	422
181	93	420
182	93	418
183	94	416
184	94	415
185	94	413
186	94	411
187	94	409
188	95	408
189	95	406
190	95	404
191	95	402
192	95	400
193	96	399
194	96	397
195	96	395
196	96	394
197	96	392
198	97	390
199	97	389
200	97	387
201	97	386
202	97	384
203	98	382
204	98	381
205	98	379
206	98	378
207	98	376
208	99	375
209	99	373
210	99	372
211	99	370
212	100	369
213	100	368
214	100	366
215	100	365
216	100	363
217	101	362
218	101	361
219	101	359
220	101	358
221	101	356
222	102	355
223	102	354
224	102	352
225	102	351
226	102	350
227	103	348
228	103	347
229	103	346
230	103	346
231	104	345
232	104	343
233	104	342
234	104	341
235	105	340
236	105	338
237	105	337
238	105	336
239	105	335
240	106	334
241	106	332
242	106	331
243	106	330
244	106	329
245	107	328
246	107	327
247	107	325
248	107	324
249	107	323
250	108	322
251	108	321
252	108	320
253	108	319
254	108	318
255	109	316
256	109	315
257	109	314
258	109	313
259	109	312
260	110	311
261	110	310
262	110	309
263	110	308
264	110	307
265	111	306
266	111	305
267	111	304
268	111	303
269	111	302
270	111	301
271	112	300
272	112	299
273	112	298
274	112	297
275	112	296
276	113	295
277	113	294
278	113	293
279	113	292
280	113	291
281	114	290
282	114	289
283	114	288
284	114	287
285	114	286
286	115	286
287	115	285
288	115	284
289	115	283
290	115	282
291	116	281
292	116	280
293	117	281
294	117	280
295	117	280
296	118	279
297	118	278
298	118	277
299	118	276
300	118	276
301	119	275
302	119	274
303	119	273
304	119	272
305	119	271
306	120	271
307	120	270
308	120	269
309	120	268
310	120	267
311	121	266
312	121	266
313	121	265
314	121	264
315	121	263
316	121	262
317	122	262
318	122	261
319	122	260
320	122	259
321	123	259
322	123	258
323	123	257
324	123	256
325	123	256
326	124	255
327	124	254
328	124	253
329	124	252
330	124	252
331	124	251
332	125	250
333	125	249
334	125	249
335	125	248
336	125	247
337	126	247
338	126	246
339	126	245
340	126	245
341	126	244
342	127	243
343	127	242
344	127	242
345	127	241
346	127	240
347	128	240
348	128	239
349	128	238
350	128	237
351	128	237
352	129	236
353	129	236
354	129	235
355	129	234
356	129	234
357	130	233
358	130	232
359	130	232
360	130	231
361	131	230
362	131	230
363	131	229
364	131	228
365	132	229
366	132	228
367	132	228
368	133	227
369	133	226
370	133	226
371	133	225
372	133	224
373	133	224
374	134	223
375	134	222
376	134	222
377	134	221
378	134	221
379	135	220
380	135	219
381	135	219
382	135	218
383	135	218
384	136	217
385	136	216
386	136	216
387	136	215
388	136	214
389	137	214
390	137	213
391	137	213
392	137	212
393	137	212
394	138	211
395	138	210
396	138	210
397	138	209
398	138	209
399	139	208
400	139	208
401	139	207
402	139	206
403	139	206
404	140	205
405	140	205
406	140	204
407	140	204
408	140	203
